asset	address	price	balance	value	type
USDC.e	0x29219dd400f2bf60e5a23d13be72b486d4038894	$0.999391	38.490565	$38.467124	ERC20
wS	0x039e2fb66102314ce7b64ce5ce3e5183bc94ad38	$0.489295	7.497263	$3.668373	ERC20
scUSD	0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE	$0.999473	3.001076	$2.999494	ERC20
USDT	0x6047828dc181963ba44974801ff68e538da5eaf9	$0.999476	0.123448	$0.123383	ERC20
SHADOW	0x3333b97138D4b086720b5aE8A7844b1345a33333	$67.05	0.000004	$0.000268	ERC20
xSHADOW	0x5050bc082FF4A74Fb6B0B04385dEfdDB114b2424	0	0.061765	0	ERC20
x33	0x3333111A391cC08fa51353E9195526A70b333333	$51.03	0.000005	$0.000255	ERC20
SWPx	0xa04bc7140c26fc9bb1f36b1a604c7a5a88fb0e70	$0.254188	0.118464	$0.030112	ERC20
SWPx	0xA04BC7140c26fc9BB1F36B1A604C7A5a88fb0E70	$0.254188	0.055927	$0.014216	Pending Reward (SwapX wS/USDC.e)
SHADOW	0x3333b97138D4b086720b5aE8A7844b1345a33333	$67.05	0	$0	Pending Reward (Shadow wS/USDC.e)
xSHADOW	0x5050bc082FF4A74Fb6B0B04385dEfdDB114b2424	0	0.00087	0	Pending Reward (Shadow wS/USDC.e)